epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8838,1.98694,3.44244,2.4072,0.00333,1,0.21978,0.10527,2.34541,4.11743,3.39686,0.000653061,0.000653061,0.000653061
2,26.5752,1.74401,3.18147,2.26662,0.00306,0.91667,0.12861,0.04592,2.86914,4.59593,3.74209,0.0012936,0.0012936,0.0012936
3,39.7895,1.91291,3.19374,2.32518,0.00306,0.91667,0.12861,0.04592,2.86914,4.59593,3.74209,0.00190773,0.00190773,0.00190773
4,52.5196,1.82065,3.08916,2.25389,0.53925,0.5,0.5507,0.22263,2.08554,6.88762,3.23094,0.0018812,0.0018812,0.0018812
5,65.1225,1.60988,3.21878,2.09415,0.11959,0.16667,0.13944,0.05834,2.02877,3.94432,2.96555,0.0018416,0.0018416,0.0018416
6,77.8356,1.76672,3.064,2.15946,0.02392,0.5,0.06905,0.02268,2.91283,4.36721,3.73548,0.001802,0.001802,0.001802
7,90.5662,1.95603,2.97668,2.32916,0.18147,0.58333,0.14384,0.05303,2.0248,3.88168,2.98898,0.0017624,0.0017624,0.0017624
8,103.509,1.67419,2.98266,2.07736,0.18147,0.58333,0.14384,0.05303,2.0248,3.88168,2.98898,0.0017228,0.0017228,0.0017228
9,116.812,1.60934,3.00071,2.12761,0.31173,0.41526,0.2359,0.11442,1.7551,4.37125,2.71616,0.0016832,0.0016832,0.0016832
